epoch,loss,lr,mean_absolute_error,mean_absolute_percentage_error,r_squared,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_r_squared
0,5.794826507568359,1e-04,5.794826507568359,100.55927276611328,-2.2783751487731934,1.9942829608917236,1.9942829608917236,66.4760971069336,0.0
1,5.3244171142578125,1e-04,5.3244171142578125,82.01875305175781,-2.0475401878356934,1.4363820552825928,1.4363820552825928,47.87940216064453,0.0
2,4.57860803604126,1e-04,4.57860803604126,65.63028717041016,-1.3841392993927002,0.910698413848877,0.910698413848877,30.356613159179688,0.0
3,4.3682756423950195,1e-04,4.3682756423950195,56.16427993774414,-1.3318543434143066,0.3751053810119629,0.3751053810119629,12.503512382507324,0.0
4,4.039095878601074,1e-04,4.039095878601074,55.50704574584961,-0.912810206413269,0.15063071250915527,0.15063071250915527,5.021023750305176,0.0
5,3.5862650871276855,1e-04,3.5862650871276855,38.873619079589844,-0.7417532205581665,0.666208028793335,0.666208028793335,22.206933975219727,0.0
6,3.4977166652679443,1e-04,3.4977166652679443,48.99587631225586,-0.4039943218231201,1.1153464317321777,1.1153464317321777,37.17821502685547,0.0
7,4.133302688598633,1e-04,4.133302688598633,73.72447204589844,-0.6441333293914795,1.498800277709961,1.498800277709961,49.96000671386719,0.0
8,3.538301467895508,1e-04,3.538301467895508,46.9793586730957,-0.4923231601715088,1.84370756149292,1.84370756149292,61.45691680908203,0.0
9,3.006561517715454,1e-04,3.006561517715454,50.39520263671875,0.08933418989181519,2.1458382606506348,2.1458382606506348,71.52793884277344,0.0
